METHOD|PATH|NAME|SOURCE_MODULE
{"details": {"mode": "openapi", "runtime_env": "dev"}, "event": "config_validation_ok", "event_id": "config_validation_ok", "level": "INFO", "logger": "pathos.startup", "message": "Startup configuration validation passed. The process can continue with readiness checks.", "request_id": null, "rule_id": null, "run_id": null, "saved_search_id": null, "timestamp": "2026-02-16T05:33:09.425932+00:00"}
POST|/api/v1/advisor/evaluate|evaluate_advisor|app.api.v1.advisor
POST|/api/v1/advisor/evaluate-and-narrate|evaluate_and_narrate|app.api.v1.advisor
POST|/api/v1/advisor/narrate|narrate_advisor|app.api.v1.advisor
POST|/api/v1/advisor/session|create_advisor_session|app.api.v1.advisor_session
GET|/api/v1/advisor/session/{session_id}|get_advisor_session|app.api.v1.advisor_session
POST|/api/v1/advisor/session/{session_id}/close|close_advisor_session|app.api.v1.advisor_session
POST|/api/v1/advisor/session/{session_id}/events|append_advisor_session_event|app.api.v1.advisor_session
GET|/api/v1/alert-rules|list_alert_rules|app.api.v1.alerts
POST|/api/v1/alert-rules|create_alert_rule|app.api.v1.alerts
DELETE|/api/v1/alert-rules/{alert_rule_id}|delete_alert_rule|app.api.v1.alerts
GET|/api/v1/alert-rules/{alert_rule_id}|get_alert_rule|app.api.v1.alerts
PUT|/api/v1/alert-rules/{alert_rule_id}|update_alert_rule|app.api.v1.alerts
GET|/api/v1/alerts|list_alerts|app.api.v1.alerts
GET|/api/v1/alerts/digests|list_alert_digests|app.api.v1.alerts
DELETE|/api/v1/alerts/digests/purge|purge_old_digests|app.api.v1.alerts
POST|/api/v1/alerts/digests/retain|retain_last_n_digests|app.api.v1.alerts
GET|/api/v1/alerts/metrics/recent|list_alert_metrics_recent|app.api.v1.alerts
GET|/api/v1/alerts/rules/{alert_rule_id}/history|list_alert_rule_history|app.api.v1.alerts
DELETE|/api/v1/alerts/rules/{alert_rule_id}/logs|purge_rule_logs|app.api.v1.alerts
POST|/api/v1/alerts/run|run_alerts|app.api.v1.alerts
GET|/api/v1/alerts/runs|list_alert_runs|app.api.v1.alerts
DELETE|/api/v1/alerts/runs/purge|purge_old_runs|app.api.v1.alerts
GET|/api/v1/alerts/{alert_id}|get_alert|app.api.v1.alerts
POST|/api/v1/alerts/{alert_id}/ack|ack_alert|app.api.v1.alerts
GET|/api/v1/audit/recent|get_recent_audits|app.api.v1.audit
DELETE|/api/v1/audit/{trace_id}|delete_audit|app.api.v1.audit
GET|/api/v1/audit/{trace_id}|get_audit|app.api.v1.audit
GET|/api/v1/desktop/alert-rules|desktop_list_alert_rules|app.api.v1.desktop
GET|/api/v1/desktop/alerts/digests|desktop_list_alert_digests|app.api.v1.desktop
GET|/api/v1/desktop/info|get_desktop_info|app.api.v1.desktop
GET|/api/v1/desktop/overview|desktop_overview|app.api.v1.desktop
GET|/api/v1/desktop/ping|desktop_ping|app.api.v1.desktop
GET|/api/v1/desktop/saved-searches|desktop_list_saved_searches|app.api.v1.desktop
GET|/api/v1/export/audit/{trace_id}|export_audit|app.api.v1.export
GET|/api/v1/export/recent|export_recent|app.api.v1.export
GET|/api/v1/export/thread/{thread_id}|export_thread|app.api.v1.export
GET|/api/v1/health|health|app.api.v1.health
GET|/api/v1/health/live|health_live|app.api.v1.health
GET|/api/v1/health/ready|health_ready|app.api.v1.health
POST|/api/v1/jobs/search|search_jobs|app.api.v1.jobs
POST|/api/v1/jobs/{job_id}/score|score_job|app.api.v1.jobs
GET|/api/v1/meta/openapi|get_openapi_spec|app.api.v1.meta
GET|/api/v1/profile|get_profile|app.api.v1.profile_v1
PUT|/api/v1/profile|put_profile|app.api.v1.profile_v1
GET|/api/v1/saved-searches|list_saved_searches|app.api.v1.saved_searches
POST|/api/v1/saved-searches|create_saved_search|app.api.v1.saved_searches
DELETE|/api/v1/saved-searches/{saved_search_id}|delete_saved_search|app.api.v1.saved_searches
GET|/api/v1/saved-searches/{saved_search_id}|get_saved_search|app.api.v1.saved_searches
PUT|/api/v1/saved-searches/{saved_search_id}|update_saved_search|app.api.v1.saved_searches
POST|/api/v1/saved-searches/{saved_search_id}/run|run_saved_search|app.api.v1.alerts
POST|/api/v1/threads|create_thread|app.api.v1.threads
GET|/api/v1/threads/recent|list_recent_threads|app.api.v1.threads
DELETE|/api/v1/threads/{thread_id}|delete_thread|app.api.v1.threads
GET|/api/v1/threads/{thread_id}|get_thread|app.api.v1.threads
POST|/api/v1/threads/{thread_id}/messages|append_thread_message|app.api.v1.threads
GET|/api/v1/threads/{thread_id}/summary|get_thread_summary|app.api.v1.thread_summary
POST|/api/v1/threads/{thread_id}/summary/recompute|recompute_thread_summary|app.api.v1.thread_summary
POST|/api/v1/wipe|wipe_data|app.api.v1.wipe
GET|/health|health|app.api.v1.health
GET|/health/live|health_live|app.api.v1.health
GET|/health/ready|health_ready|app.api.v1.health
